Date,Tweet
2020-12-07 08:52:43+00:00,hmm... iya itu aq #StartUpEp14 https://t.co/0RfGhsahCW'
2020-12-06 23:59:53+00:00,napakasinungaling talaga ni ji pyeong???? #StartUpEp14'
2020-12-06 16:31:13+00:00,#StartUpEp14 emang paling bener kalo di sekip! -__ #StartUpFinale https://t.co/kIanVLHvaC'
2020-12-06 16:22:55+00:00,Dal-mi kalau mau pacaran sama yang tangannya gede sama Hulk aja. #StartUpEp14'
2020-12-06 14:52:19+00:00,Pengen lanjut start-up garagara liat ini tapi apadaya yg ep 14 15 aja belom:(\n#StartUpEp16 \n#StartUpEp15 \n#StartUpEp14 https://t.co/lPlm9R2Bvk'
2020-12-06 14:44:07+00:00,mau ke sini \xf0\x9f\x98\xa9\xf0\x9f\x98\x8d\xe2\x9d\xa4\n\n#StartUp \n#StartUpEp14 \nhttps://t.co/iVtGIEoFnI'
2020-12-06 13:57:05+00:00,LUH ANO YAN NAM DO SAN???!!! BAKIT PARANG KASALANAN PA NI DALMI?!!!!!! #StartUpEp14'
2020-12-06 11:06:43+00:00,"kapal ini berlayar, lucu banget. Chulsan &amp; Saha \xe2\x9d\xa4\xf0\x9f\x98\x8d\n\n#StartUp \n#StartUpEp14 \nhttps://t.co/TLnfdddZC6'"
2020-12-06 10:54:43+00:00,"Pemandangan saat Do San di rumah paman bapaknya tuh cakep banget saat malem pun. \n\nNyalain api unggun, berdua sama Dalmi. Eh aku kan team Jipyeong, jangan oleng \xf0\x9f\x98\xad\xf0\x9f\x98\x8d\n\nDalmi, In Jae, Saha &amp; Trio Samsan nih kece lah. Banyakin scene bisnis gini kan seru \xf0\x9f\x98\x8d\n\n#StartUp \n#StartUpEp14 https://t.co/BZ48VkeF5r'"
2020-12-06 10:48:32+00:00,Trio Samsan ga balik ke Amerika. Mau buka bisnis di Korea. \n\nKasian In Jae baru tau kondisi nenek. Pengen keluarga ini kumpul lagi \xe2\x9d\xa4\xf0\x9f\x98\xad\n\n#StartUp \n#StartUpEp14 https://t.co/Qc2rWB54hc'
2020-12-06 10:11:01+00:00,"3 tahun. Ngak ngapa2in, kenama aja lu enceg gonodk. Ngambang aja di kali. #StartUpEp14'"
2020-12-06 03:50:38+00:00,ketika orang-orang berlomba-lomba ngetweet ss bagian dari drama #StartUp Dan memberikan opininya \n#StartUpEp13 #StartUpEp14 #StartUpEp15 #StartUpEp16 #StarTrekDiscovery'
2020-12-06 01:29:17+00:00,"Scene ini cantik &amp; romantis sekali. Digendong \xf0\x9f\x92\x91\xf0\x9f\x8c\x85\xf0\x9f\x8c\x89\xf0\x9f\x8d\x83\xf0\x9f\x8c\xb2\xf0\x9f\x98\x8d\xe2\x9d\xa4\n\nAku #TeamHanJiPyeong tapi ya baper liat ini \xf0\x9f\x98\xad\n\nBayangkan bangun pagi, dengan view gini. Suasana malem juga ga kalah keren. \xf0\x9f\x98\xad\xe2\x9d\xa4\n\nYA AMPUN JADI MAU NGINEP SITU \xf0\x9f\x98\x8d\n\n#StartUpEp14 \nhttps://t.co/dNT0Vs0nmk'"
2020-12-05 22:53:08+00:00,mohon maaf ini #StartUpEp14 ternyata wkwkw gue salah liat eps._.'
2020-12-05 19:55:54+00:00,Meski menyita waktu tidur sya tidak menyesali itu. baper teruss ahh #TimNamDosan \xf0\x9f\xa5\xba\xf0\x9f\x98\xaa\n#StartUpEp14 https://t.co/BfUijXqzpN'
2020-12-05 18:41:03+00:00,"Eps. 14\n\nNangisin cowok lain di depan cowok yang lo tau dia suka sama lo. \n\nDalmi cuma Dosan aja pikirannya. Perhatian kecil Jipyeong kayak gini ga berasa gimana gitu? \n\nGua yang nangis astaga, nyesek banget si Jipyeong \xf0\x9f\x98\xad\n\n#StartUp \n#StartUpEp14 https://t.co/gFT9OlfS4n'"
2020-12-05 18:18:30+00:00,APASIH JIPRET KDKDKSDKWDKWDKWKDWSDW #StartUpEp14 https://t.co/AKdn1sDVGp'
2020-12-05 16:22:08+00:00,"setelah #StartUpEp14 yang sedikit ngebosenin grgr bahas bucin doang, #StartUpEp15 dateng dengan punchlinenyaa wkwkw'"
2020-12-05 16:10:12+00:00,"Entering #StartUpEp14.\nManusia bisa gini, ya... https://t.co/S12Nt9gmnd'"
2020-12-05 14:47:41+00:00,Definisi patah hati dengan situasi masing-masing\n#StartUpEp14 #StartUp https://t.co/UJ9jPFkM4Z'
2020-12-05 14:36:14+00:00,Dah la. Ji-pyeong deserves better. In-jae pun boleh. Bagi lah Dal-mi tu kat Do-san. #StartUpEp14'
2020-12-05 14:21:28+00:00,Alaaa comel nya saha fengan chulsan ni \xf0\x9f\x98\x82 #StartUpEp14'
2020-12-05 13:57:56+00:00,"b""Gw abis nonton #StartUpEp14 buka twt lngsng ada ht #MMA_RIGGED_TREASURE. INI KNP WOY? Gw keong, anak paud gw tiba' trending"""
2020-12-05 13:42:44+00:00,Han Ji Pyeong hanggang dulo. #StartUpEp14'
2020-12-05 13:37:56+00:00,Ga mao lanjut nntn starup males..\nGa tega liat jipyong.\n#StartUpEp14'
2020-12-05 13:29:40+00:00,Seharusnya ada lebih banyak scene buat Kang Han Na/ In Jae di #StartUpEp14 pun scene dia sm nenek dikit banget \xf0\x9f\x98\xa2 \n\nPadahal actingnya bagus.'
2020-12-04 16:37:54+00:00,"Han Ji Pyeong : \n\n""Dia untukku\nBukan untukmu\nDia milikku\nBukan milikmu\nPergilah kamu\nJangan kau ganggu\nBiarkan aku\nMendekatinya""\n\n#timjipyeong \n#StartUpEp14\n#Drakor BTS vs BTS \n#StartUpEp15 \n#GFRIEND https://t.co/7xaBKQBauu'"
2020-12-04 13:55:46+00:00,Ottoke? Han Ji Pyeong \xf0\x9f\x98\x8d\xf0\x9f\x98\xad #KimSeonHo #HanJiPyeongTeam #StartUpEp14 https://t.co/EIcIxXbjue'
2020-12-04 12:52:31+00:00,Aku lebih suka liat mereka as second couple daripada liat Nam Do San &amp; Seo Dal Mi #StartUpEp14 https://t.co/auajq9ntDC'
2020-12-07 02:23:17+00:00,#StartUpEp13 (54:00) ang dahilan kung bakit karamihan ng ex ko ay IT...na malaki ang kamay! \xf0\x9f\xa4\xaa'
2020-12-07 01:18:35+00:00,"Nam Do San, 3 tahun di Silicon Valley, laptopnya GAK ganti? \n\n#StartUp\n#StartUpEp13'"
2020-12-06 16:22:55+00:00,"3 tahun cuma sebatas teman main gaplek pas lebaran, annying bgt :) #StartUpEp13'"
2020-12-06 13:52:28+00:00,"Menangkan iPhone 11 &amp; 10 JT Koin, Ayo Panen Pohon Tabungan! #StartUpeps15 #StartUpEp13 #StartUpEp16 hari sabtu #1212ShopeeBirthdaySale https://t.co/ZdgjpncvQc https://t.co/nia8DyeIC"
2020-12-06 08:13:26+00:00,"Selepas tengok #StartUpEp13 , saya rasa ji pyeong harus blah dan tidak perlu berharap pada dalmi lagi kerana kita boleh lihat dalmi masih menyimpan perasaan terhadap dosan lagi dan perkara ini telah membuatkan hati saya sangat bengang ye semua\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a'"
2020-12-06 07:14:09+00:00,senengnya liat ini !!\ncompleted\xf0\x9f\x98\x8d\n\n#StartUpEp13 https://t.co/hxiGQf6tdI'
2020-12-06 05:07:46+00:00,"thanks banget eps13, cukup relate for me ehehe. hampir moveon, bahkan udah..tapi diketemuin tiba2. sucks\xf0\x9f\x98\xad\n#StartUpEp13'"
2020-12-06 04:31:34+00:00,"Begini prediksi #drakorclass ketika menantikan #StartUp #StartUpEp13 , intinya sih pak #HanJiPyeong kurang usaha! https://t.co/9ivRUwHBO4'"
2020-12-06 04:26:48+00:00,"namanya juga #drakor ya, tapi #drakorclass mulai bisa melihat alasan #Dalmi memilih #Dosan sejak #StartUpEp13'"
2020-12-06 03:50:38+00:00,ketika orang-orang berlomba-lomba ngetweet ss bagian dari drama #StartUp Dan memberikan opininya \n#StartUpEp13 #StartUpEp14 #StartUpEp15 #StartUpEp16 #StarTrekDiscovery'
2020-12-06 03:12:28+00:00,"Seandainya kita nggak menganggap #StartUpEp13 ada, dosan dan jipyeong punya kesempatan sama besarnya buat dapetin dalmi. Gue nggak bakal mau memihak siapapun seandainya itu kejadian. Ini pilihan hati dalmi aja sih. Bcs dua duanya sama baiknya kok'"
2020-12-06 03:12:25+00:00,"Heran aja di #StartUpEp13 saat semua karakter udah berkembang 3 tahun, eh kok pak han kayak nggak ada pergerakan gitu ya. Bayangin deh jipyeong eps 1-12 effort banget ke dalmi selama di sandbox. Um aneh gak sih saat pak han punya kesempatan 3 tahun tpi kayak gak terjadi apa apa?'"
2020-12-06 03:12:24+00:00,"Overall drama ini bagus banget ya menurut w. Tapi gue heran se heran herannya di #StartUpEp13 jujur aja gue #teamhanjipyeong. Karakter dia dari episode 1-12 kuat banget. Emosionalnya dapet, effortnya ke dalmi gak usah ditanya. Grafik perkembangan karakter jipyeong selalu naik'"
2020-12-06 03:12:24+00:00,Masih belum moveon. Ada apa di #StartUpEp13 ?'
2020-12-06 02:24:28+00:00,"Tiga tahun gak ngapa-ngapain mending jualan seblak aja gak sih, Pak Han?\n\nBukan Team Jipyeong, cuma ini kayak plot hole gak sih. Serius writernim kok kamu gini sih\xf0\x9f\x98\xad Rasa persainganya kurang #StartUpEp13 #StartUp https://t.co/LTxASkVhg0'"
2020-12-05 22:55:08+00:00,Berenti di eps 13. Entahlah.. ak merasa ga siap menerima kenyataan #StartUpEp13'
2020-12-05 22:17:00+00:00,"b""Fav quote :\n\n'kuharap aku bisa menjadi orang pertama ketika kamu merasa kesulitan'\n\n'orang pertama yang kamu pikirkan' #StartUpEp13"""
