,Date,Tweet
68,2020-11-27 11:21:36+00:00,b'Pecah bgt disini \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x94\n#StartUpEp12 #StartUp https://t.co/cntj0fJHC3'
69,2020-11-27 11:16:28+00:00,"b'Jangan gegabah intinya, selalu tanya mentor tiap mau buat keputusan. Jangan bawa urusan pribadi ke tempat kerja.\nTapi sejauh ini sayang ku pada Jipyeong ga luntur, bahkan terus nambah \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\nMentor terbaik sih asli\n#StartUp #StartUpEp12 https://t.co/Pt1QhhZWZZ'"
70,2020-11-27 05:17:26+00:00,"b'Self Reminder of #StartUpEp12\n\nSemakin kita beranjak dewasa, semakin dituntut keadaan untuk selalu terlihat kuat. Tapi, menangis pun sudah hal yang wajar. Menangis bukan berarti lemah dan menyerah, tapi menangis itu seperti obat penenang diri sendiri. https://t.co/yAB3V6ljQc'"
71,2020-11-27 03:56:33+00:00,"b'Ulasan Start Up, cukup menarik dan terhibur \xf0\x9f\xa4\x98https://t.co/ulDJgBoxIj  #StartUpEp13 #StartUpEp12 #StartUp #SeoDalmi #NamDoSan #TeamJipyeong'"
72,2020-11-27 03:30:55+00:00,b'Finally!!\nFilter instagram #Jipyeong aku udah publish guys!\nMohon #timjipyeong untuk selalu #KawalPakHan ahahaha\nEh iya instagram aku : giofani.andry\nDi follow juga yaa chingu!\n#StartUpEp12 #kimseonho https://t.co/Ad0IyR44km'
73,2020-11-27 02:55:51+00:00,b'Td malem baru sempet nonton start up eps 12 dannnnn mengandung bawang woyyyyy #StartUpEp12'
74,2020-11-27 02:55:27+00:00,"b'jika tak bisa mengalahkan musuhmu, maka jadilah pasukannya \n#StartUpEp12'"
75,2020-11-27 01:54:53+00:00,b'kata-kata Nam Do San :              Aku yang SMK-nya RPL 3 tahun : \n\n#StartUpEp12 https://t.co/rpmzJNN3Cb'
76,2020-11-27 01:52:25+00:00,"b'kekny pak han sama injae deh.awal nntn start up aku kira pemeran utamany pak han,ternyata nam dosan.otomatis dalmi endingny sm nam do san dong!.TAPI KNP DIRIKU MENDUKUNG MBA DAL MI SM PAK HAN\xf0\x9f\x98\xa5.YA...WALAUPUN TW MEREKA G BISA BERSATU.\n#StartUp #StartUpEp12 #TeamHanjipyeong'"
77,2020-11-27 01:33:52+00:00,b'eps12 rasanya kek naek roller coaster anjriitttt #StartUpEp12 https://t.co/jiaTNqrtz2'
78,2020-11-26 22:48:11+00:00,b'Jadi ini yg lagi trending kemaren\xf0\x9f\x98\x8d\xf0\x9f\x99\x88 #StartUpEp12 https://t.co/8jB6TorYen'
79,2020-11-26 20:01:59+00:00,"b'//. kalau aku pribadi malah pengen drama ini berjalan endingnya kaua record of youth, tpi balik lagi kayanya ga bakalan mungkin deng dibuat kaya gitu jadi berharap semoga dalmi dapet yang terbaik. dosan makin dewsa dalam sikap, HJP dapet cewe lebih baik dari dalmi\n#StartUpEp12'"
80,2020-11-26 19:56:00+00:00,b'//. Mau cakap sotoy #StartUpEp12'
81,2020-11-26 16:28:55+00:00,b'HAN JIPYEONG.....#StartUpEp12 \n\n#kimseonho #\xea\xb9\x80\xec\x84\xa0\xed\x98\xb8 \xe2\x97\xa1\xcc\x88 https://t.co/C3bN5qOCFK'
82,2020-11-26 14:38:49+00:00,b'Ga kuat gw liat\xf0\x9f\x98\xad #StartUpEp12'
83,2020-11-26 14:05:21+00:00,b'Benci lahai aku episode 12 #StartUpEp12 kimak'
84,2020-11-26 13:21:54+00:00,"b'Cuma bisa melongo, termenung, gatau musti ngomong apa setelah nonton #StartUpEp12 \xf0\x9f\x98\xb6'"
85,2020-11-26 12:28:47+00:00,b'Setelah nonton #StartUpEp12 please banget inimah campur aduk banget \xf0\x9f\x98\xad Eps 13 dan seterusnya kepo banget\xf0\x9f\x98\xad'
86,2020-11-26 10:33:05+00:00,b'Ada tempat yang dukung han ji pyeong ? #StartUpEp12 https://t.co/86haaBgZnS'
87,2020-11-26 10:32:49+00:00,"b'Sampai di #StartUpEp12 ini akhirnya memutuskan beralih ke #timjipyeong. #NamDoSan ga sepenuhnya salah ama kelakuannya, #Jipyeong jg gak sepenuhnya bener. Tp menurut aing lebih bisa diterima kelakuannya si #Jipyeong kalo orientasinya ke idupnya si #SEODALMI wkwkwk'"
